batterID,batterName,Hits,AB,battingSpot,Avg,pitcherID,pitcherName,pitcherERA,pitcherAvg
543807,George Springer,0,5,1,0.0,594835,Marco Gonzales,6.23,0.263
514888,Jose Altuve,1,5,2,0.2,594835,Marco Gonzales,6.23,0.263
608324,Alex Bregman,1,5,3,0.2,594835,Marco Gonzales,6.23,0.263
488726,Michael Brantley,2,4,4,0.667,594835,Marco Gonzales,6.23,0.263
493329,Yuli Gurriel,0,4,5,0.0,594835,Marco Gonzales,6.23,0.263
621043,Carlos Correa,1,4,6,0.25,594835,Marco Gonzales,6.23,0.263
502210,Josh Reddick,1,4,7,0.25,594835,Marco Gonzales,6.23,0.263
647351,Abraham Toro,1,2,8,1.0,594835,Marco Gonzales,6.23,0.263
455117,Martin Maldonado,2,4,9,0.5,594835,Marco Gonzales,6.23,0.263
543807,George Springer,1,4,1,0.143,592836,Taijuan Walker,13.5,0.467
514888,Jose Altuve,1,4,2,0.286,592836,Taijuan Walker,13.5,0.467
608324,Alex Bregman,1,4,3,0.222,592836,Taijuan Walker,13.5,0.467
488726,Michael Brantley,1,4,4,0.429,592836,Taijuan Walker,13.5,0.467
493329,Yuli Gurriel,1,3,5,0.167,592836,Taijuan Walker,13.5,0.467
621043,Carlos Correa,1,3,6,0.286,592836,Taijuan Walker,13.5,0.467
502210,Josh Reddick,1,4,7,0.25,592836,Taijuan Walker,13.5,0.467
663656,Kyle Tucker,1,4,8,0.25,592836,Taijuan Walker,13.5,0.467
455117,Martin Maldonado,2,4,9,0.5,592836,Taijuan Walker,13.5,0.467
543807,George Springer,0,4,1,0.091,579328,Yusei Kikuchi,12.27,0.357
514888,Jose Altuve,0,5,2,0.2,579328,Yusei Kikuchi,12.27,0.357
596117,Garrett Stubbs,0,0,3,0.0,579328,Yusei Kikuchi,12.27,0.357
608324,Alex Bregman,1,5,4,0.231,579328,Yusei Kikuchi,12.27,0.357
493329,Yuli Gurriel,2,4,5,0.3,579328,Yusei Kikuchi,12.27,0.357
621043,Carlos Correa,1,4,6,0.3,579328,Yusei Kikuchi,12.27,0.357
647351,Abraham Toro,0,2,7,0.333,579328,Yusei Kikuchi,12.27,0.357
502210,Josh Reddick,1,4,8,0.273,579328,Yusei Kikuchi,12.27,0.357
663656,Kyle Tucker,1,1,9,0.4,579328,Yusei Kikuchi,12.27,0.357
543807,George Springer,0,5,1,0.063,608665,Kendall Graveman,13.5,0.333
