game_id,home/away,opp_name,opp_code,result
490103,Away,Minnesota Twins,142,L
490125,Away,Minnesota Twins,142,L
490139,Away,Minnesota Twins,142,L
490153,Away,Houston Astros,117,W
490168,Away,Houston Astros,117,W
490183,Away,Houston Astros,117,L
490199,Home,Oakland Athletics,133,L
490225,Home,Oakland Athletics,133,L
490237,Home,Oakland Athletics,133,W
490246,Home,Los Angeles Angels,108,W
490261,Home,Los Angeles Angels,108,W
490276,Home,Los Angeles Angels,108,W
490307,Home,San Francisco Giants,137,L
490322,Home,San Francisco Giants,137,W
490330,Away,Texas Rangers,140,L
490342,Away,Texas Rangers,140,L
490357,Away,Texas Rangers,140,L
490372,Away,Texas Rangers,140,L
490383,Away,Chicago White Sox,145,L
490394,Away,Chicago White Sox,145,L
490409,Away,Chicago White Sox,145,L
490437,Home,Minnesota Twins,142,L
490467,Home,Minnesota Twins,142,L
490476,Home,Chicago White Sox,145,W
490488,Home,Chicago White Sox,145,L
490503,Home,Chicago White Sox,145,W
490518,Home,Chicago White Sox,145,L
490532,Home,Cleveland Indians,114,W
490547,Home,Cleveland Indians,114,L
490562,Home,Cleveland Indians,114,L
490576,Away,Tampa Bay Rays,139,W
490588,Away,Tampa Bay Rays,139,W
490604,Away,Tampa Bay Rays,139,L
490617,Away,Tampa Bay Rays,139,W
490625,Home,Baltimore Orioles,110,W
490640,Home,Baltimore Orioles,110,W
490655,Home,Baltimore Orioles,110,W
490687,Home,New York Yankees,147,L
490701,Home,New York Yankees,147,L
490714,Home,New York Yankees,147,W
490723,Away,Minnesota Twins,142,L
490753,Away,Minnesota Twins,142,W
490738,Away,Minnesota Twins,142,L
490767,Away,New York Yankees,147,L
490776,Away,New York Yankees,147,W
490791,Away,New York Yankees,147,L
490820,Away,Cleveland Indians,114,W
490835,Away,Cleveland Indians,114,W
490850,Away,Cleveland Indians,114,L
490864,Home,Detroit Tigers,116,L
490879,Home,Detroit Tigers,116,W
490895,Home,Detroit Tigers,116,L
490916,Home,Cleveland Indians,114,W
490931,Home,Cleveland Indians,114,W
490946,Home,Cleveland Indians,114,L
